,Level 4 Government,Count,Level 3 Government,Level 2 Government,Level 1 Government
0,Angokoun-Kpangbassou,38,Languibonou,Botro,Gbeke
1,Andokro-Kouakou,29,Languibonou,Botro,Gbeke
2,Hannié,18,DJOUROUTOU,Tabou,San Pedro
3,Adjougouansou,18,Djibri Assirikro,Sakassou,Gbeke
4,Bledie,17,Dogbo,San-Pédro,San Pedro
5,N?dakro,13,Bodokro,Béoumi,Gbeke
6,Koumanbo,13,Béoumi,Béoumi,Gbeke
7,Diéviessou,13,Béoumi,Béoumi,Gbeke
8,Adjamene,13,Grand bereby,San-Pédro,San Pedro
9,Mahino1,13,DJOUROUTOU,Tabou,San Pedro
10,Heremakono,12,Dogbo,San-Pédro,San Pedro
11,Andobo-Alluibo,12,Sakassou,Sakassou,Gbeke
12,DJOUROUTOU,12,DJOUROUTOU,Tabou,San Pedro
13,Akété,12,Sakassou,Sakassou,Gbeke
14,Grobonou dan,11,Gabiadji,San-Pédro,San Pedro
15,Sola-Bonikro,11,Djibri Assirikro,Sakassou,Gbeke
16,Gnity,10,Gabiadji,San-Pédro,San Pedro
17,Kpékékro (Bassin de Mamini),9,Brobo,Bouaké,Gbeke
18,Goliblenou,9,Sakassou,Sakassou,Gbeke
19,Oueoulo,9,Grand bereby,San-Pédro,San Pedro
20,Afotobo,9,Béoumi,Béoumi,Gbeke
21,Sran-Belakro,8,Ayaou-Sran,Sakassou,Gbeke
22,Akanzakro,8,Bouaké,Bouaké,Gbeke
23,Gbapet,8,Grabo,Tabou,San Pedro
24,Akadiafoué,7,Béoumi,Béoumi,Gbeke
25,PARA,7,DJOUROUTOU,Tabou,San Pedro
26,Wouhasso,6,Grand bereby,San-Pédro,San Pedro
27,Debablai,6,Grabo,Tabou,San Pedro
28,Plibo,6,N?guessankro,Béoumi,Gbeke
29,Mandanou,6,Ando-Kékrénou,Béoumi,Gbeke
30,Krofoinsou,5,Krofoinsou,Botro,Gbeke
31,Samoïkro,5,Lolobo,Béoumi,Gbeke
32,Olodio,5,Olodio,Tabou,San Pedro
33,Alloko-Sakassou,5,Lolobo,Béoumi,Gbeke
34,Djihimbo,5,Djihimbo,San-Pédro,San Pedro
35,Zougban (Bassin de Saminikro),5,Brobo,Bouaké,Gbeke
36,Fahe,5,Gabiadji,San-Pédro,San Pedro
37,Beoué,5,DJOUROUTOU,Tabou,San Pedro
38,Para,5,DJOUROUTOU,Tabou,San Pedro
39,Blahou,5,Gabiadji,San-Pédro,San Pedro
