,Level 4 Government,Count,Level 3 Government,Level 2 Government,Level 1 Government
0,Hannié,18,DJOUROUTOU,Tabou,San Pedro
1,Bledie,17,Dogbo,San-Pédro,San Pedro
2,Adjamene,13,Grand bereby,San-Pédro,San Pedro
3,Mahino1,13,DJOUROUTOU,Tabou,San Pedro
4,Heremakono,12,Dogbo,San-Pédro,San Pedro
5,DJOUROUTOU,12,DJOUROUTOU,Tabou,San Pedro
6,Grobonou dan,11,Gabiadji,San-Pédro,San Pedro
7,Gnity,10,Gabiadji,San-Pédro,San Pedro
8,Oueoulo,9,Grand bereby,San-Pédro,San Pedro
9,Gbapet,8,Grabo,Tabou,San Pedro
10,PARA,7,DJOUROUTOU,Tabou,San Pedro
11,Diéviessou,7,Béoumi,Béoumi,Gbeke
12,Adjougouansou,6,Djibri Assirikro,Sakassou,Gbeke
13,Debablai,6,Grabo,Tabou,San Pedro
14,Angokoun-Kpangbassou,6,Languibonou,Botro,Gbeke
15,Akanzakro,5,Bouaké,Bouaké,Gbeke
16,Djihimbo,5,Djihimbo,San-Pédro,San Pedro
17,Olodio,5,Olodio,Tabou,San Pedro
18,Blahou,5,Gabiadji,San-Pédro,San Pedro
19,Beoué,5,DJOUROUTOU,Tabou,San Pedro
20,Para,5,DJOUROUTOU,Tabou,San Pedro
21,Andokro-Kouakou,4,Languibonou,Botro,Gbeke
22,Krofoinsou,4,Krofoinsou,Botro,Gbeke
23,N?dakro,4,Bodokro,Béoumi,Gbeke
24,Mahino3,4,DJOUROUTOU,Tabou,San Pedro
25,Siahé,4,Grabo,Tabou,San Pedro
26,Fahe,4,Gabiadji,San-Pédro,San Pedro
27,Raffierkro,3,COMMUNE DE Bouake,Bouaké,Gbeke
28,Lokassou,3,Djebonoua,Bouaké,Gbeke
29,Sola-Bonikro,3,Djibri Assirikro,Sakassou,Gbeke
30,Afotobo,3,Béoumi,Béoumi,Gbeke
31,Djikla,3,Grand bereby,San-Pédro,San Pedro
32,Akadiafoué,3,Béoumi,Béoumi,Gbeke
33,Wouhasso,3,Grand bereby,San-Pédro,San Pedro
34,Mahino 3,3,DJOUROUTOU,Tabou,San Pedro
35,Assouakro,2,Djébonoua,Bouaké,Gbeke
36,Mané,2,Tabou,Tabou,San Pedro
37,Mandanou,2,Ando-Kékrénou,Béoumi,Gbeke
38,Plibo,2,N?guessankro,Béoumi,Gbeke
39,Gbarou,2,DJOUROUTOU,Tabou,San Pedro
40,Sran-Belakro,2,Ayaou-Sran,Sakassou,Gbeke
41,N?zikro,2,Krofoinsou,Botro,Gbeke
42,Lokassou (Bassin de Assengou),2,Djébonoua,Bouaké,Gbeke
43,Nouin,2,Grabo,Tabou,San Pedro
44,Abouzè-kouadiokro,1,Lolobo,Béoumi,Gbeke
45,Fahris_Oko,1,Commune de Bouaké,Bouaké,Gbeke
46,Fahris_Oko(Bassin de Kahankro),1,Commune de Bouake,Bouaké,Gbeke
47,Bounda,1,Brobo,Bouaké,Gbeke
48,Takassou(Bassin de Saminikro),1,Brobo,Botro,Gbeke
49,Klodio,1,Olodio,Tabou,San Pedro
50,Mahino2,1,DJOUROUTOU,Tabou,San Pedro
51,GBAROU,1,DJOUROUTOU,Tabou,San Pedro
52,Gbangbokro,1,Gnity,San-Pédro,San Pedro
53,Koblékro(Kongonibo),1,Commune de Bouaké,Bouaké,Gbeke
54,Touih,1,Gabiadji,San-Pédro,San Pedro
55,Djourou,1,Grand bereby,San-Pédro,San Pedro
56,Oulibio,1,Grand bereby,San-Pédro,San Pedro
57,Akété,1,Sakassou,Sakassou,Gbeke
58,Belle-Ahoukro (Akanzakro),1,Dibri,Sakassou,Gbeke
59,Assengou,1,Djebonoua,Bouaké,Gbeke
60,Kouadianikro (Bounda),1,Brobo,Bouaké,Gbeke
61,Plongo(Bassin de Djébonoua),1,Djébonoua,Bouaké,Gbeke
62,Hyrré,1,Tabou,Tabou,San Pedro
63,Djihouloké,1,Tabou,Tabou,San Pedro
64,Kouakou kouadiokro (Bassin de Yéguébo-Bouakro),1,Brobo,Bouaké,Gbeke
65,Kouakou kouadiokro(Bassin  de Yéguébo-Bouakro),1,Brobo,Bouaké,Gbeke
66,Plateau,1,DJOUROUTOU,Tabou,San Pedro
67,Sinzèkro,1,Diabo,Botro,Gbeke
68,Yéguébo-Bouakro,1,Brobo,Bouaké,Gbeke
69,Takassou (Bassin de Mamini.),1,Brobo,Bouaké,Gbeke
70,Ahodji(Raffierkro),1,Commune de Bouaké,Bouaké,Gbeke
71,Gomo(Bassin  de Assouakro),1,Djébonoua,Bouaké,Gbeke
72,Gomo( Bassin Assouakro),1,Djébonoua,Bouaké,Gbeke
73,Zougban (Bassin de Saminikro),1,Brobo,Bouaké,Gbeke
74,Belle-Ahoukro 3(Akanzakro),1,Dibri Assrikro,Sakassou,Gbeke
75,MAHINO1,1,DJOUROUTOU,Tabou,San Pedro
76,Fahris_Oko (Bassin de Kahankro),1,Commune de Bouake,Bouaké,Gbeke
77,Seh,1,Olodio,Tabou,San Pedro
78,Langbabokohoun,1,Brobo,Bouaké,Gbeke
