,Level 4 Government,Count,Level 3 Government,Level 2 Government,Level 1 Government
0,Angokoun-Kpangbassou,38,Languibonou,Botro,Gbeke
1,Andokro-Kouakou,29,Languibonou,Botro,Gbeke
2,Hannié,18,DJOUROUTOU,Tabou,San Pedro
3,Adjougouansou,17,Djibri Assirikro,Sakassou,Gbeke
4,Bledie,17,Dogbo,San-Pédro,San Pedro
5,N?dakro,13,Bodokro,Béoumi,Gbeke
6,Diéviessou,13,Béoumi,Béoumi,Gbeke
7,Mahino1,13,DJOUROUTOU,Tabou,San Pedro
8,Adjamene,13,Grand bereby,San-Pédro,San Pedro
9,Koumanbo,13,Béoumi,Béoumi,Gbeke
10,Andobo-Alluibo,12,Sakassou,Sakassou,Gbeke
11,Heremakono,12,Dogbo,San-Pédro,San Pedro
12,Akété,12,Sakassou,Sakassou,Gbeke
13,DJOUROUTOU,12,DJOUROUTOU,Tabou,San Pedro
14,Grobonou dan,11,Gabiadji,San-Pédro,San Pedro
15,Sola-Bonikro,11,Djibri Assirikro,Sakassou,Gbeke
16,Gnity,10,Gabiadji,San-Pédro,San Pedro
17,Afotobo,9,Béoumi,Béoumi,Gbeke
18,Kpékékro (Bassin de Mamini),9,Brobo,Bouaké,Gbeke
19,Goliblenou,9,Sakassou,Sakassou,Gbeke
20,Oueoulo,9,Grand bereby,San-Pédro,San Pedro
21,Sran-Belakro,8,Ayaou-Sran,Sakassou,Gbeke
22,Gbapet,8,Grabo,Tabou,San Pedro
23,Akanzakro,8,Bouaké,Bouaké,Gbeke
24,PARA,7,DJOUROUTOU,Tabou,San Pedro
25,Akadiafoué,7,Béoumi,Béoumi,Gbeke
26,Debablai,6,Grabo,Tabou,San Pedro
27,Plibo,6,N?guessankro,Béoumi,Gbeke
28,Mandanou,6,Ando-Kékrénou,Béoumi,Gbeke
29,Wouhasso,6,Grand bereby,San-Pédro,San Pedro
30,Djihimbo,5,Djihimbo,San-Pédro,San Pedro
31,Para,5,DJOUROUTOU,Tabou,San Pedro
32,Beoué,5,DJOUROUTOU,Tabou,San Pedro
33,Fahe,5,Gabiadji,San-Pédro,San Pedro
34,Blahou,5,Gabiadji,San-Pédro,San Pedro
35,Alloko-Sakassou,5,Lolobo,Béoumi,Gbeke
36,Samoïkro,5,Lolobo,Béoumi,Gbeke
37,Olodio,5,Olodio,Tabou,San Pedro
38,Zougban (Bassin de Saminikro),5,Brobo,Bouaké,Gbeke
39,Krofoinsou,5,Krofoinsou,Botro,Gbeke
