,Level 4 Government,Count,Level 3 Government,Level 2 Government,Level 1 Government
0,Angokoun-Kpangbassou,20,Dibri Assirikro,Sakassou,Gbeke
1,Hannié,18,DJOUROUTOU,Tabou,San Pedro
2,Bledie,17,Dogbo,San-Pédro,San Pedro
3,Andokro-Kouakou,16,Languibonou,Botro,Gbeke
4,Adjamene,13,Grand bereby,San-Pédro,San Pedro
5,Mahino1,13,DJOUROUTOU,Tabou,San Pedro
6,DJOUROUTOU,12,DJOUROUTOU,Tabou,San Pedro
7,Heremakono,12,Dogbo,San-Pédro,San Pedro
8,Diéviessou,11,Béoumi,Béoumi,Gbeke
9,Adjougouansou,11,Djibri Assirikro,Sakassou,Gbeke
10,Grobonou dan,10,Gabiadji,San-Pédro,San Pedro
11,Oueoulo,9,Grand bereby,San-Pédro,San Pedro
12,Andobo-Alluibo,9,Sakassou,Sakassou,Gbeke
13,Kpékékro (Bassin de Mamini),9,Brobo,Bouaké,Gbeke
14,Gnity,9,Gabiadji,San-Pédro,San Pedro
15,Gbapet,8,Grabo,Tabou,San Pedro
16,Sola-Bonikro,8,Djibri Assirikro,Sakassou,Gbeke
17,Akanzakro,8,Bouaké,Bouaké,Gbeke
18,N?dakro,8,Bodokro,Béoumi,Gbeke
19,Akadiafoué,7,Béoumi,Béoumi,Gbeke
20,Koumanbo,7,Béoumi,Béoumi,Gbeke
21,PARA,7,DJOUROUTOU,Tabou,San Pedro
22,Debablai,6,Grabo,Tabou,San Pedro
23,Plibo,6,N?guessankro,Béoumi,Gbeke
24,Afotobo,6,Béoumi,Béoumi,Gbeke
25,Goliblenou,5,Sakassou,Sakassou,Gbeke
26,Krofoinsou,5,Krofoinsou,Botro,Gbeke
27,Beoué,5,DJOUROUTOU,Tabou,San Pedro
28,Akété,5,Djibri Assirikro,Sakassou,Gbeke
29,Olodio,5,Olodio,Tabou,San Pedro
30,Mandanou,5,Ando-Kékrénou,Béoumi,Gbeke
31,Zougban (Bassin de Saminikro),5,Brobo,Bouaké,Gbeke
32,Para,5,DJOUROUTOU,Tabou,San Pedro
33,Blahou,5,Gabiadji,San-Pédro,San Pedro
34,Fahe,5,Gabiadji,San-Pédro,San Pedro
35,Kpékékro (Mamini),4,Brobo,Bouaké,Gbeke
36,Wouhasso,4,Grand bereby,San-Pédro,San Pedro
37,Mahino3,4,DJOUROUTOU,Tabou,San Pedro
38,Siahé,4,Grabo,Tabou,San Pedro
39,Djihimbo,4,Grand bereby,San-Pédro,San Pedro
40,Mahino 3,3,DJOUROUTOU,Tabou,San Pedro
41,Lokassou,3,Djebonoua,Bouaké,Gbeke
42,Raffierkro,3,COMMUNE DE Bouake,Bouaké,Gbeke
43,Assouakro,3,Djébonoua,Bouaké,Gbeke
44,Samoïkro,3,Lolobo,Béoumi,Gbeke
45,Sran-Belakro,3,Ayaou-Sran,Sakassou,Gbeke
46,Djikla,3,Grand bereby,San-Pédro,San Pedro
47,Linguébo,3,Ando-Kékrénou,Béoumi,Gbeke
48,Nouin,2,Grabo,Tabou,San Pedro
49,Koblékro,2,Commune de Bouaké,Bouaké,Gbeke
50,Ahouzankro (Bassin de Mamini),2,Brobo,Bouaké,Gbeke
51,Gbarou,2,DJOUROUTOU,Tabou,San Pedro
52,Alloko-Sakassou,2,Lolobo,Béoumi,Gbeke
53,Béhéké(Bassin de Klèmèkro),2,Languibonou,Botro,Gbeke
54,Kanango Kpli,2,Sakassou,Sakassou,Gbeke
55,Béhéké (Bassin de Languibonou),2,Languibonou,Botro,Gbeke
56,Takassou(Bassin de Saminikro),2,Brobo,Bouaké,Gbeke
57,Tanou-Broukro (Bassin de Saminikro),2,Brobo,Bouaké,Gbeke
58,Yéguébo-Bouakro,2,Brobo,Bouaké,Gbeke
59,Alloukro (Bassin de Mamini),2,Brobo,Bouaké,Gbeke
60,Béhéké(Bassin de Languibonou),2,Languibonou,Botro,Gbeke
61,Sinzèkro,2,Diabo,Botro,Gbeke
62,N?zikro,2,Krofoinsou,Botro,Gbeke
63,Mané,2,Tabou,Tabou,San Pedro
64,Belle-Ahoukro(Akanzakro),1,Dibri Assrikro,Sakassou,Gbeke
65,Oulibio,1,Grand bereby,San-Pédro,San Pedro
66,Fahris_Oko (Kahankro),1,Commune de Bouaké,Bouaké,Gbeke
67,Koblékro(Kongonibo),1,Commune de Bouaké,Bouaké,Gbeke
68,Djourou,1,Grand bereby,San-Pédro,San Pedro
69,Kouadianikro (Bounda),1,Brobo,Bouaké,Gbeke
70,Belle-Ahoukro (Akanzakro),1,Dibri,Sakassou,Gbeke
71,Fahris_Oko,1,Commune de Bouaké,Bouaké,Gbeke
72,Lolobo,1,Lolobo,Béoumi,Gbeke
73,Fahris_Oko(Bassin de Kahankro),1,Commune de Bouake,Bouaké,Gbeke
74,Anoufoue Bounou,1,Sakassou,Sakassou,Gbeke
75,Abouzè-kouadiokro,1,Lolobo,Béoumi,Gbeke
76,Fahe yobouekro,1,Gabiadji,San-Pédro,San Pedro
77,N?Zuégouanou,1,Lolobo,Béoumi,Gbeke
78,Grobonou  dan,1,Gabiadji,San-Pédro,San Pedro
79,Mahino2,1,DJOUROUTOU,Tabou,San Pedro
80,Kouadianikro(Bassin Bounda),1,Brobo,Bouaké,Gbeke
81,GBAROU,1,DJOUROUTOU,Tabou,San Pedro
82,Gbangbokro,1,Gnity,San-Pédro,San Pedro
83,Touih,1,Gabiadji,San-Pédro,San Pedro
84,Ahodji(Raffierkro),1,Commune de Bouaké,Bouaké,Gbeke
85,Plateau,1,DJOUROUTOU,Tabou,San Pedro
86,Assengou,1,Djebonoua,Bouaké,Gbeke
87,Fahris_Oko (Bassin de Kahankro),1,Commune de Bouake,Bouaké,Gbeke
88,Hyrré,1,Tabou,Tabou,San Pedro
89,Klodio,1,Olodio,Tabou,San Pedro
90,Seh,1,Olodio,Tabou,San Pedro
91,Djihouloké,1,Tabou,Tabou,San Pedro
92,Kouakou kouadiokro (Bassin de Yéguébo-Bouakro),1,Brobo,Bouaké,Gbeke
93,Langbabokohoun,1,Brobo,Bouaké,Gbeke
94,Tanou-Broukro (Bassin de  Saminikro),1,Brobo,Bouaké,Gbeke
95,Tanou-Broukro(Bassin de Saminikro),1,Brobo,Bouaké,Gbeke
96,Kouakou kouadiokro(Bassin  de Yéguébo-Bouakro),1,Brobo,Bouaké,Gbeke
97,Béhéké (Languibonou),1,Languibonou,Botro,Gbeke
98,Kpékékro (Bassin  de  Mamini),1,Brobo,Bouaké,Gbeke
99,Bobokro (Mamini),1,Brobo,Bouaké,Gbeke
100,Plongo(Bassin de Djébonoua),1,Djébonoua,Bouaké,Gbeke
101,Mamini (Bassin de Mamini),1,Brobo,Bouaké,Gbeke
102,Mamini,1,Brobo,Bouaké,Gbeke
103,Béhéké (Bassin de  Languibonou),1,Languibonou,Botro,Gbeke
104,Zougban (Saminikro),1,Brobo,Bouaké,Gbeke
105,Takassou (Bassin de Mamini.),1,Brobo,Bouaké,Gbeke
106,Saminikro,1,Brobo,Bouaké,Gbeke
107,Gomo(Bassin  de Assouakro),1,Djébonoua,Bouaké,Gbeke
108,Gomo( Bassin Assouakro),1,Djébonoua,Bouaké,Gbeke
109,Plongo (Bassin de Kondoukro),1,Djébonoua,Bouaké,Gbeke
110,Bobokro,1,Brobo,Bouaké,Gbeke
111,Bobokro (Bassin de Mamini),1,Brobo,Bouaké,Gbeke
112,Koubékro (Bassin  Mamini),1,Brobo,Bouaké,Gbeke
113,MAHINO1,1,DJOUROUTOU,Tabou,San Pedro
114,Kouadianikro,1,Brobo,Bouaké,Gbeke
115,Kouadianikro (Bassin de Bounda),1,Brobo,Bouaké,Gbeke
116,Belle-Ahoukro 3(Akanzakro),1,Dibri Assrikro,Sakassou,Gbeke
117,Takassou (Bassin de Mamini),1,Brobo,Bouaké,Gbeke
