,Level 4 Government,Count,Level 3 Government,Level 2 Government,Level 1 Government
0,Angokoun-Kpangbassou,38,Languibonou,Botro,Gbeke
1,Andokro-Kouakou,29,Languibonou,Botro,Gbeke
2,Adjougouansou,18,Djibri Assirikro,Sakassou,Gbeke
3,Hannié,18,DJOUROUTOU,Tabou,San Pedro
4,Bledie,17,Dogbo,San-Pédro,San Pedro
5,N?dakro,13,Bodokro,Béoumi,Gbeke
6,Adjamene,13,Grand bereby,San-Pédro,San Pedro
7,Koumanbo,13,Béoumi,Béoumi,Gbeke
8,Diéviessou,13,Béoumi,Béoumi,Gbeke
9,Mahino1,13,DJOUROUTOU,Tabou,San Pedro
10,Andobo-Alluibo,12,Sakassou,Sakassou,Gbeke
11,Akété,12,Sakassou,Sakassou,Gbeke
12,Heremakono,12,Dogbo,San-Pédro,San Pedro
13,DJOUROUTOU,12,DJOUROUTOU,Tabou,San Pedro
14,Grobonou dan,11,Gabiadji,San-Pédro,San Pedro
15,Sola-Bonikro,11,Djibri Assirikro,Sakassou,Gbeke
16,Gnity,10,Gabiadji,San-Pédro,San Pedro
17,Sran-Belakro,9,Ayaou-Sran,Sakassou,Gbeke
18,Goliblenou,9,Sakassou,Sakassou,Gbeke
19,Oueoulo,9,Grand bereby,San-Pédro,San Pedro
20,Afotobo,9,Béoumi,Béoumi,Gbeke
21,Kpékékro (Bassin de Mamini),9,Brobo,Bouaké,Gbeke
22,Akanzakro,8,Bouaké,Bouaké,Gbeke
23,Gbapet,8,Grabo,Tabou,San Pedro
24,Fahe,7,Gabiadji,San-Pédro,San Pedro
25,PARA,7,DJOUROUTOU,Tabou,San Pedro
26,Akadiafoué,7,Béoumi,Béoumi,Gbeke
27,Plibo,6,N?guessankro,Béoumi,Gbeke
28,Mandanou,6,Ando-Kékrénou,Béoumi,Gbeke
29,Debablai,6,Grabo,Tabou,San Pedro
30,Wouhasso,6,Grand bereby,San-Pédro,San Pedro
31,Alloko-Sakassou,5,Lolobo,Béoumi,Gbeke
32,Zougban (Bassin de Saminikro),5,Brobo,Bouaké,Gbeke
33,Olodio,5,Olodio,Tabou,San Pedro
34,Samoïkro,5,Lolobo,Béoumi,Gbeke
35,Djihimbo,5,Djihimbo,San-Pédro,San Pedro
36,Beoué,5,DJOUROUTOU,Tabou,San Pedro
37,Para,5,DJOUROUTOU,Tabou,San Pedro
38,Blahou,5,Gabiadji,San-Pédro,San Pedro
39,Krofoinsou,5,Krofoinsou,Botro,Gbeke
