,FID_,Shape__,Niveau,IEP,Region,Departemen,S_pref,Commune,Villages,Nature_loc,Nom_Etab,Coord_x,Coord_y,Source_coo,Statut,Regime_ét,Milieu,Ordre_ens,Type_conf,eco_pt_eau,Elec_ecole,Elec_local,Eligible_c,Coges,T_cp1,TF_cp1,T_cp2,Tf_cp2,T_ce1,Tf_ce1,T_ce2,Tf_ce2,T_cm1,Tf_cm1,T_cm2,Tf_cm2,Aire_total,Aire_Inf_3,Aire_3_5,Aire_Sup_5,Ce2_18_19,Cm1_18_19,Cm2_18_19,Cm1_19_20,Cm2_19_20,Cm2_20_21,Aire,Prj_cm2_21,Densit_prj,Ponde,Clas_den_p,geometry
0,0,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,SAKASSOU,-1,AKRETIA,Un village,EPP AKRETIA,248339,804039,ecole,Public,-1,2,-1,-1,1,1,1,2,1,29,10,29,8,13,3,25,8,19,11,13,8,128,128,0,0,17.307375,24.801847,22.233478,19.197049,26.778433,22.547086,128,2,0.287224,18,1,POINT (248339 804039)
1,1,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,SAKASSOU,0,ANDO-ZUME,Un village,EPP ANDO-ZUME2,240819,804126,ecole,Public,-1,2,-1,-1,1,1,2,2,1,48,25,30,9,46,24,28,7,43,22,43,12,238,200,38,0,42.742865,27.160699,42.993595,38.297333,28.696678,37.368443,238,2,0.476031,18,1,POINT (240819 804126)
2,2,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,SAKASSOU,0,ANDO-ZUME,Un village,EPP ANDO-ZUME1,240673,804759,ecole,Public,-1,2,-1,-1,1,1,2,2,1,64,30,72,39,54,27,49,19,51,22,43,22,333,333,0,0,49.658354,41.896061,49.089939,43.798673,38.864213,41.633485,333,3,0.530363,18,1,POINT (240673 804759)
3,3,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,TOUMODI-SAKASSOU,-1,KONGO,Un village,EPP KONGO,219201,810172,ecole,Public,-1,2,-1,-1,1,1,2,2,1,60,38,60,30,42,18,58,23,68,30,47,22,335,335,0,0,42.55219,53.303087,63.45904,40.586057,52.888067,42.050363,335,3,0.535673,18,1,POINT (219201 810172)
4,4,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,SAKASSOU,-1,KPATO,Un village,EPP KPATO,241473,810624,ecole,Public,-1,2,-1,-1,1,1,1,2,1,44,18,22,13,29,11,41,20,41,18,26,7,203,52,87,64,33.572642,40.417421,43.712997,34.77919,43.248792,38.805591,139,2,0.494339,18,1,POINT (241473 810624)
5,5,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,SAKASSOU,-1,KOUMELE ANGOSSE,Un village,EC KOUMELE ANGOSSE,238685,810804,ecole,Communautaire,-1,2,-1,-1,1,1,1,0,1,42,25,31,8,0,0,0,0,0,0,0,0,73,73,0,0,4.099853,2.775942,2.731202,6.608971,5.634245,9.522203,73,1,0.121302,12,1,POINT (238685 810804)
6,6,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,SAKASSOU,0,KONDROBO,Un village,EPP KONDROBO,232767,811201,ecole,Public,-1,2,-1,-1,1,1,1,2,2,35,21,29,13,29,13,35,10,23,10,38,23,189,189,0,0,31.394595,33.590001,25.866907,31.222324,35.06194,33.593979,189,2,0.427949,21,1,POINT (232767 811201)
7,7,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,SAKASSOU,0,ALLOKODJEKRO,Un village,EPP ALLOKODJEKRO,250679,812178,ecole,Public,-1,2,-1,-1,1,1,2,2,2,55,31,64,36,55,18,66,34,53,30,61,19,354,239,115,0,48.84121,55.892103,46.419678,41.937501,50.547443,38.709434,354,2,0.493114,21,1,POINT (250679 812178)
8,8,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,AYAOU-SRAN,-1,SRAN-BELAKRO,Un village,EPP SRAN-BELAKRO,213906,813528,ecole,Public,-1,2,-1,-1,1,1,2,2,2,52,27,56,28,63,36,58,30,60,28,51,23,340,340,0,0,57.550385,55.190727,55.80201,51.132446,56.393235,49.680024,340,3,0.632867,21,1,POINT (213906 813528)
9,9,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,AYAOU-SRAN,-1,SRAN-BELAKRO,Un village,EPP SRAN-BELAKRO2,213844,813928,ecole,Public,-1,2,-1,-1,1,1,2,2,1,59,27,73,34,78,38,68,33,72,35,60,24,410,410,0,0,71.814147,58.204922,67.09247,63.393276,53.780929,60.2664,410,3,0.767725,18,1,POINT (213844 813928)
10,10,Point,PRIMAIRE,DJEBONOUA,GBÊKÊ,BOUAKE,DJEBONOUA,0,TOUNGBOKRO,Un village,EPP TOUNGBOKRO,267621,814099,ecole,Public,-1,2,-1,-1,1,1,1,2,2,35,15,30,17,57,29,27,11,26,12,19,12,194,157,37,0,51.947377,25.338063,25.112948,45.672995,25.686105,43.436818,194,3,0.553335,21,1,POINT (267621 814099)
11,11,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,SAKASSOU,-1,ASSANDRE,Un village,EPP ASSANDRE CHATEAU D'EAU,235698,814907,ecole,Public,-1,2,-1,-1,1,1,2,2,1,51,28,32,19,51,17,34,15,31,12,37,17,236,236,0,0,50.18798,31.54529,30.922793,46.650648,31.764364,46.865458,236,3,0.597012,18,1,POINT (235698 814907)
12,12,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,SAKASSOU,0,NINKOUMANOU,Un village,EC NINKOUMANOU,243555,815033,ecole,Communautaire,-1,2,-1,-1,1,1,1,0,1,24,10,22,10,22,9,0,0,0,0,0,0,68,68,0,0,20.07459,1.221414,0.910401,17.668551,2.441178,16.823966,68,1,0.214318,12,1,POINT (243555 815033)
13,13,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,SAKASSOU,0,ASSANDRE,Un village,EPP ASSANDRE2,235360,815320,ecole,Public,-1,2,-1,-1,1,2,2,2,2,67,31,47,28,81,29,74,34,42,15,54,24,365,299,66,0,75.128133,63.69989,39.256493,66.731818,58.960228,63.864044,365,3,0.813555,21,1,POINT (235360 815320)
14,14,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,SAKASSOU,-1,ASSANDRE,Un village,EPP ASSANDRE1,235316,815349,ecole,Public,-1,2,-1,-1,1,2,2,2,2,62,33,43,24,75,32,39,18,48,25,29,12,296,259,37,0,70.550088,36.994225,47.112696,63.562654,38.072841,62.029276,296,3,0.790182,21,1,POINT (235316 815349)
15,15,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,SAKASSOU,-1,ASSANDRE,Un village,EPP ASSANDRE4,235044,815844,ecole,Public,-1,2,-1,-1,1,1,2,2,1,58,23,47,19,47,18,48,18,62,25,34,15,296,296,0,0,43.078804,42.627292,57.163525,38.097279,40.896414,36.529135,296,2,0.465339,18,1,POINT (235044 815844)
16,16,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,SAKASSOU,0,BLEKRO-NIANDA,Un village,EPP BLEKRO-NIANDA,241133,816503,ecole,Public,-1,2,-1,-1,1,1,2,2,1,21,10,33,11,28,13,32,14,23,9,26,10,163,163,0,0,26.702561,29.232471,23.655934,24.407281,29.021409,24.307357,163,2,0.309648,18,1,POINT (241133 816503)
17,17,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,AYAOU-SRAN,-1,BONDOSSOU,Un village,EPP BONDOSSOU,213470,816684,ecole,Public,-1,2,-1,-1,1,1,2,2,1,62,27,62,31,64,32,67,27,56,32,55,25,366,366,0,0,59.295649,57.492663,52.038524,52.642084,53.135693,50.391,366,3,0.641924,18,1,POINT (213470 816684)
18,18,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,SAKASSOU,0,ANDOFOUEBONOU,Un village,EPP ANDOFOUEBONOU,252453,816710,ecole,Public,-1,2,-1,-1,1,1,2,2,1,62,26,53,24,54,26,47,18,52,29,49,16,317,317,0,0,51.708281,44.246824,51.136297,47.392899,45.176097,47.290436,317,3,0.602426,18,1,POINT (252453 816710)
19,19,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,SAKASSOU,0,AHOUE,Un village,EPP AHOUE,254739,816901,ecole,Public,-1,2,-1,-1,1,1,2,2,1,59,27,45,21,47,18,32,17,11,7,39,14,233,233,0,0,44.360008,30.675961,15.096677,40.201882,32.020229,39.656344,233,2,0.505176,18,1,POINT (254739 816901)
20,20,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,SAKASSOU,0,KONANKRO-SAKASSOU,Un village,EPP KONANKRO-SAKASSOU,241804,816941,ecole,Public,-1,2,-1,-1,2,2,2,2,2,57,23,40,16,36,18,30,15,53,19,51,23,267,267,0,0,31.952486,26.142388,47.980365,27.472241,24.580432,25.476385,267,2,0.32454,21,1,POINT (241804 816941)
21,21,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,SAKASSOU,0,TAYAMOUKRO,Un village,EPP TAYAMOUKRO,245075,817843,ecole,Public,-1,2,-1,-1,1,1,2,2,1,18,7,6,4,26,19,19,5,0,0,0,0,69,69,0,0,25.774442,18.085464,1.950859,24.142347,18.599764,24.501755,69,2,0.312124,18,1,POINT (245075 817843)
22,22,Point,PRIMAIRE,DJEBONOUA,GBÊKÊ,BOUAKE,DJEBONOUA,0,LENGBRE,Un village,EPP LENGBRE 1,263424,818256,ecole,Public,-1,2,-1,-1,1,2,2,2,2,59,30,54,25,54,30,47,26,48,19,54,25,316,316,0,0,50.298956,41.692957,45.421952,44.943445,40.031834,43.444454,316,3,0.553432,21,1,POINT (263424 818256)
23,23,Point,PRIMAIRE,DJEBONOUA,GBÊKÊ,BOUAKE,DJEBONOUA,0,LENGBRE,Un village,EPP LENGBRE 2,263483,818265,ecole,Public,-1,2,-1,-1,2,1,2,2,2,28,12,29,14,27,17,20,7,15,9,24,10,143,143,0,0,26.879104,19.9081,15.088503,25.34561,21.221295,25.990354,143,2,0.331087,21,1,POINT (263483 818265)
24,24,Point,PRIMAIRE,DJEBONOUA,GBÊKÊ,BOUAKE,DJEBONOUA,0,KATIENOU,Un village,EPP KATIENOU,265250,818906,ecole,Public,-1,2,-1,-1,1,1,2,2,2,49,23,31,19,36,22,24,8,31,18,29,15,200,200,0,0,37.974145,24.755814,32.353422,37.120988,27.484739,39.275317,200,2,0.500323,21,1,POINT (265250 818906)
