,Niveau,code_etabl,Region,Departemen,Sous_prefe,Commune,Localité,Nature_loc,Nom_Etabli,X,Y,Provenance,Statut,Régime_é,Total_ense,Milieu_de,Ordre_ense,Type_confe,Existence,Existenc_1,Existenc_2,Existenc_3,Effectif_t,Effectif_1,Effectif_2,Effectif_3,Effectif_4,Effectif_5,Effectif_6,Effectif_7,Effectif_8,Effectif_9,Effecti_10,Effecti_11,Effecti_12,Effecti_13,Ensemble_,Effectif_f,Effecti_14,Effecti_15,Effecti_16,Effecti_17,Effecti_18,Effecti_19,Effecti_20,Effecti_21,Effecti_22,Effecti_23,Effecti_24,Effecti_25,Effecti_26,Ensemble_1,geometry
0,secondaire,10445,SAN PEDRO,TABOU,TABOU,TABOU,KABLAKE EXTENSION,Une ville,COLLEGE MODERNE ARNAUD,680794,488268,ecole,Privé,,12,Urbain,Laïc,,OUI,OUI,,OUI,0,0,0,1,1,25,19,11,0,4,4,0,3,66,0,0,0,0,1,1,10,3,5,0,0,2,0,1,21,22,POINT (14619.986999999732 489497.4804999996)
1,secondaire,10732,SAN PEDRO,TABOU,TABOU,TABOU,PORT BOUET,Une ville,COLLEGE LE SUCCES TABOU,682451,488827,ecole,Privé,,27,Urbain,Laïc,,OUI,NON,,OUI,203,153,133,152,641,88,15,68,0,18,96,0,52,337,0,82,54,49,61,246,31,7,25,0,5,33,0,14,115,361,POINT (16285.601499999873 490044.43879999965)
2,secondaire,190633,SAN PEDRO,TABOU,TABOU,TABOU,PORT BOUET,Une ville,COLLEGE LES ELUS DE TABOU,682908,489722,ecole,Privé,,25,Urbain,Laïc,,OUI,NON,,OUI,198,236,142,182,758,117,38,83,0,25,110,0,52,425,0,77,89,59,81,306,54,16,24,0,6,42,0,21,163,469,POINT (16750.980000000447 490937.9236999992)
3,secondaire,626,SAN PEDRO,TABOU,TABOU,TABOU,TABOU,Une ville,LYCEE MODERNE BAROU ADJEHI VALENTIN,682932,490431,ecole,Public,,82,Urbain,,,OUI,OUI,,OUI,835,721,741,738,3035,113,169,80,0,59,71,0,84,576,0,359,339,316,292,1306,73,76,32,0,13,31,0,21,246,1552,POINT (16780.79879999999 491648.46199999936)
4,secondaire,9963,SAN PEDRO,SAN PEDRO,GRAND-BEREBY,GRAND BEREBY,WELLE,Une ville,LYCEE MODERNE GOSSO YABAYOU ALPHONSE,729218,514607,ecole,Public,,60,Urbain,,,OUI,OUI,,OUI,740,816,454,584,2594,104,158,71,0,82,119,0,57,591,0,322,325,218,238,1103,56,60,28,0,17,58,0,14,233,1336,POINT (63363.35510000028 515488.9252000004)
5,secondaire,190125,SAN PEDRO,SAN PEDRO,GRAND-BEREBY,GRAND BEREBY,WELLE,Une ville,GROUPE SCOLAIRE LES SIRENES,728723,515147,ecole,Privé,,50,Urbain,Laïc,,OUI,OUI,,OUI,436,497,475,466,1874,143,30,95,0,23,196,0,46,533,0,182,199,185,206,772,56,13,49,0,1,94,0,11,224,996,POINT (62872.12729999982 516034.05030000024)
6,secondaire,190126,SAN PEDRO,SAN PEDRO,GRAND-BEREBY,GRAND BEREBY,WELLE,Une ville,INSTITUT SCOLAIRE GUSTAVE FLAUBERT,728395,515411,ecole,Privé,,20,Urbain,Laïc,,OUI,OUI,,NON,152,9,185,272,618,0,0,0,0,0,0,0,0,0,0,66,5,83,112,266,0,0,0,0,0,0,0,0,0,266,POINT (62545.82679999992 516301.29289999977)
7,secondaire,49657,SAN PEDRO,TABOU,OLODIO,,OLODIO,Un village,COLLEGE PRIVE BETHEL DE OLODIO,669547,521029,ecole,Privé,,8,Rural,Laïc,,OUI,NON,,NON,74,18,27,90,209,0,0,0,0,0,0,0,0,0,0,30,8,10,32,80,0,0,0,0,0,0,0,0,0,80,POINT (3618.2066999999806 522436.7620000001)
8,secondaire,190260,SAN PEDRO,SAN PEDRO,SAN PEDRO,SAN PEDRO,LAC,Une ville,COLLEGE ATLANTIQUE,761660,523687,ecole,Privé,,17,Urbain,Laïc,,OUI,NON,,NON,70,31,60,60,221,24,20,33,0,16,33,0,23,149,0,35,16,27,24,102,13,11,14,0,5,18,0,8,69,171,POINT (95928.92949999962 524302.9987000003)
9,secondaire,190325,SAN PEDRO,SAN PEDRO,SAN PEDRO,SAN PEDRO,NITORO,Une ville,GROUPE SCOLAIRE ALGHADIR,762894,524007,ecole,Privé,,15,Urbain,Laïc,,OUI,OUI,,OUI,7,14,10,9,40,0,5,2,0,6,0,0,5,18,0,4,9,7,5,25,0,3,1,0,5,0,0,5,14,39,POINT (97167.09119999968 524612.6677999999)
