,Niveau,Dren,IEP,Region,Departemen,Sou_pref,Commune,Localite,Nat_loc,Nom_Etab,CoordX,CoordY,Statut,Fonctionne,Regime_eta,Milieu,Ordre_ense,Type_conf,Ecole_pt_e,Ecole_elec,Localite_e,Eligi_cart,Coges,TCP1,TFCP1,TCP2,TFCP2,TCE1,TFCE1,TCE2,TFCE2,TCM1,TFCM1,TCM2,TFCM2,Aire_total,Aire_inf_3,Aire__3_5,Aire_sup_5,Aire,Densite,CE2_18_19,CM1_18_19,CM2_18_19,CM1_19_20,CM2_19_20,CM2_20_21,Dens_class,densite_pr,Clas_prj_d,Ponde,geometry
0,PRIMAIRE,SAN-PEDRO,TABOU,SAN PEDRO,TABOU,DJOUROUTOU,-1,BLIERON,Un village,EPP BLIERON,664074,482543,Public,Ouverte,Mixte,2,-1,-1,1,1,1,2,2,21,10,31,16,15,9,16,8,13,5,10,2,106,106,0,0,106,1.350318,12.726317,13.172746,11.385959,10.477534,11.537257,9.176674,2,0.1169,1,23,POINT (-2189.8898000000045 483892.07210000046)
1,PRIMAIRE,SAN-PEDRO,TABOU,SAN PEDRO,TABOU,DJOUROUTOU,-1,SOUBLAKE,Un village,EPP SOUBLAKE,671368,483349,Public,Ouverte,Mixte,2,-1,-1,1,1,1,2,2,59,36,59,27,51,25,75,30,26,7,22,7,292,268,24,0,292,3.719745,43.269479,61.747245,22.771918,35.623615,54.080891,31.200693,3,0.397461,1,23,POINT (5130.243900000118 484641.82279999927)
2,PRIMAIRE,SAN-PEDRO,TABOU,SAN PEDRO,TABOU,TABOU,0,SOUKE,Un village,EPP SOUKE,674901,484757,Public,Ouverte,Mixte,2,-1,-1,1,1,1,2,2,20,11,25,14,32,16,0,0,0,0,0,0,77,77,0,0,77,0.980892,27.149477,0.0,0.0,22.352072,0.0,19.576905,1,0.249387,1,23,POINT (8683.759700000286 486025.13570000045)
3,PRIMAIRE,SAN-PEDRO,TABOU,SAN PEDRO,TABOU,TABOU,0,BOKE,Un village,EPP BOKE,680025,487021,Public,Ouverte,Mixte,2,-1,-1,1,1,2,2,2,43,18,37,19,33,15,45,19,22,13,21,10,201,180,21,0,201,2.56051,27.997898,37.048347,19.268546,23.050574,32.448535,20.188684,3,0.257181,1,24,POINT (13838.993200000376 488253.5965999998)
4,PRIMAIRE,SAN-PEDRO,TABOU,SAN PEDRO,TABOU,DJOUROUTOU,-1,DJAMADIOKE,Un village,EPP DJAMADIOKE,669709,489572,Public,Ouverte,Mixte,2,-1,-1,1,1,2,2,2,60,26,61,25,50,24,73,35,46,26,39,17,329,300,29,0,329,4.191083,42.421057,60.100652,40.288777,34.925112,52.638734,30.588915,3,0.389668,1,24,POINT (3517.050099999644 490894.69969999976)
5,PRIMAIRE,SAN-PEDRO,TABOU,SAN PEDRO,TABOU,DJOUROUTOU,-1,PROLLO,Un village,EPP PROLLO,663486,489786,Public,Ouverte,Mixte,2,-1,-1,1,2,2,2,2,65,30,61,18,45,22,47,22,33,15,21,5,272,190,82,0,272,3.464968,38.178952,38.69494,28.902819,31.432601,33.890692,27.530023,3,0.350701,1,24,POINT (-2721.1063000001013 491159.82100000046)
6,PRIMAIRE,SAN-PEDRO,TABOU,SAN PEDRO,TABOU,TABOU,0,OMBLOKE,Un village,EPP OMBLOKE,686316,490506,Public,Ouverte,Mixte,2,-1,-1,1,1,2,2,2,25,12,20,7,15,8,29,9,23,11,23,10,135,135,0,0,135,1.719745,12.726317,23.875601,20.144389,10.477534,20.911278,9.176674,3,0.1169,1,24,POINT (20173.585599999875 491696.1300000008)
7,PRIMAIRE,SAN-PEDRO,TABOU,SAN PEDRO,TABOU,TABOU,0,SEKREKE,Un village,EPP SEKREKE,687272,491872,Public,Ouverte,Mixte,2,-1,-1,1,1,2,2,2,68,35,83,44,56,20,71,32,57,21,59,23,394,394,0,0,394,5.019108,47.511584,58.454059,49.92305,39.116126,51.196577,34.259584,3,0.436428,1,24,POINT (21142.982900000177 493057.59789999947)
8,PRIMAIRE,SAN-PEDRO,TABOU,SAN PEDRO,TABOU,DJOUROUTOU,-1,PATA-IDIE,Un village,EPP PATA-IDIE,660312,494679,Public,Ouverte,Mixte,2,-1,-1,1,1,2,2,2,30,12,34,17,24,6,18,3,20,12,12,5,138,137,1,0,138,1.757962,20.362108,14.819339,17.51686,16.764054,12.979414,14.682679,3,0.187041,1,24,POINT (-5864.017199999653 496092.3976000007)
9,PRIMAIRE,SAN-PEDRO,TABOU,SAN PEDRO,TABOU,TABOU,0,TOLOU  VILLAGE,Un village,EPP TOLOU,693889,494809,Public,Ouverte,Mixte,2,-1,-1,1,1,1,2,1,28,16,9,3,10,4,13,1,10,4,0,0,70,70,0,0,70,0.89172,8.484211,10.702856,8.75843,6.985022,9.374021,6.117783,1,0.077934,1,20,POINT (27799.330199999735 495947.29959999956)
10,PRIMAIRE,SAN-PEDRO,TABOU,SAN PEDRO,TABOU,TABOU,-1,BOUBELE,Un village,EPP BOUBELE,694214,496159,Public,Ouverte,Mixte,2,-1,-1,1,1,2,2,2,40,21,67,28,33,21,56,28,27,16,39,19,262,260,2,0,262,3.33758,27.997898,46.10461,23.647761,23.050574,40.380399,20.188684,3,0.257181,1,24,POINT (28136.14960000012 497297.6810999997)
