,Opportunity Unique Identifier,Bridge Name,Country,Level 1 Government,Level 2 Government,Level 3 Government,Level 4 Government,latitude,longitude,Reason site not valid,Site Validation Comments,Flag for Rejection,River crossing deaths in last 3 years,Incident descriptions,Days per year river is flooded,Flood duration during rainy season,Notes on social information,Width of River During Flooding (m),Health access blocked by river,Education access blocked by river,Market access blocked by river,Other access blocked by river,Form: Created Date,Form: Created By,geometry
0,1043157,Sangarekro,Cote d'Ivoire,San Pedro,San-Pédro,Dogbo,Bledie,4.855737,-6.969818,,,No,0,0,5,5,Secrétaire Gsc,13,Clinique ou centre de santé - Clinic or Health Center;Pharmacie - Pharmacy,École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Feme - Farms;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase",11/11/22,achilleyaoyao taroworks,POINT (-6.969818 4.855737)
1,1040872,Hanier,Cote d'Ivoire,San Pedro,San-Pédro,Grand bereby,Mossikro,4.718922,-6.939454,,Ras,No,0,0,35,35,2,16,,,,,6/30/22,achilleyaoyao taroworks,POINT (-6.939454 4.718922)
2,1042870,campement ardjoumakro,Cote d'Ivoire,San Pedro,San-Pédro,Dogbo,Bledie,4.857928,-7.000859,,,No,0,0,2,2,Président Gsc bledie,23,Hôpital - Hospital;Pharmacie - Pharmacy,École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);accès à l'internet - Internet access",11/7/22,achilleyaoyao taroworks,POINT (-7.000859 4.857928)
3,1042875,Sangarekro,Cote d'Ivoire,San Pedro,San-Pédro,Dogbo,Bledie,4.859334,-6.988984,,,No,2,2,9,3,,135,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital;Pharmacie - Pharmacy,École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase",11/7/22,achilleyaoyao taroworks,POINT (-6.988984 4.859334)
4,1042877,Bledie,Cote d'Ivoire,San Pedro,San-Pédro,Dogbo,Bledie,4.869407,-7.005066,,,No,0,0,3,3,Président Gsc bledie,34,Clinique ou centre de santé - Clinic or Health Center;Pharmacie - Pharmacy,École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Feme - Farms;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase",11/7/22,achilleyaoyao taroworks,POINT (-7.005066 4.869407)
5,1043162,Bledie,Cote d'Ivoire,San Pedro,San-Pédro,Dogbo,Bledie,4.867176,-6.998964,,,No,0,0,3,3,Secrétaire Gsc,23,Clinique ou centre de santé - Clinic or Health Center;Pharmacie - Pharmacy,École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Feme - Farms;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase",11/11/22,achilleyaoyao taroworks,POINT (-6.998964 4.867176)
6,1042879,Sangarekro,Cote d'Ivoire,San Pedro,San-Pédro,Dogbo,Bledie,4.854593,-6.996228,,,No,0,0,3,2,Président Gsc,73,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital;Pharmacie - Pharmacy,École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Feme - Farms;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access",11/7/22,achilleyaoyao taroworks,POINT (-6.996228 4.854593)
7,1043161,Sangarekro,Cote d'Ivoire,San Pedro,San-Pédro,Dogbo,Bledie,4.858544,-6.979242,,,No,0,0,2,2,Secrétaire Gsc,14,Clinique ou centre de santé - Clinic or Health Center;Pharmacie - Pharmacy,École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Feme - Farms;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access",11/11/22,achilleyaoyao taroworks,POINT (-6.979242 4.858544)
8,1043155,Bloho 2,Cote d'Ivoire,San Pedro,San-Pédro,Dogbo,Bledie,4.880185,-7.026446,,,No,0,0,2,2,Secrétaire Gsc,12,Clinique ou centre de santé - Clinic or Health Center;Pharmacie - Pharmacy,École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Feme - Farms;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase",11/11/22,achilleyaoyao taroworks,POINT (-7.026446 4.880185)
9,1042874,Bledie,Cote d'Ivoire,San Pedro,San-Pédro,Dogbo,Bledie,4.861181,-6.998682,,,No,0,0,2,1,Président Gsc,6,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital;Pharmacie - Pharmacy,École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase",11/7/22,achilleyaoyao taroworks,POINT (-6.998682 4.861181)
