,Opportunity Name,Opportunity Unique Identifier,Bridge Name,Country,Level 3 Government,Level 4 Government,Stage,Sub-Stage,Individuals Directly Served,River Name,Site Validation,Proposed Bridge Location (GPS) (Latitude),Proposed Bridge Location (GPS) (Longitude),Reason site not valid,Site Validation Comments,Flag for Rejection,Rejection Reason,River crossing deaths in last 3 years,Incident descriptions,Days per year river is flooded,Flood duration during rainy season,Notes on social information,Width of River During Flooding (m),Nearest all-weather crossing point,360° with site description video on Box,Health access blocked by river,Education access blocked by river,Market access blocked by river,Other access blocked by river,GPS (Longitude),GPS (Latitude),Waterway or Obstacle Classification,Transportation Route Classification,Environment Classification,Form: Created Date,Level 1 Government,Level 2 Government,geometry,latitude,longitude,priority
0,Côte d'Ivoire - Adamadougou - 1043158,1043158,Adamadougou,Côte d'Ivoire,Dogbo,Bledie,Identified,,,Carrefour adamadougou,Not applicable,4.852916,-6.975996,,,No,,0,2,5.0,3,Secrétaire Gsc,44.0,2,Non,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital;Pharmacie - Pharmacy,École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Feme - Farms;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase",-6.975996,4.852916,"mudflat (low point with stagnant water, seasonally)",motorcycle accessible path,Rural,11/11/22,San Pedro,San-Pédro,POINT (-6.975996 4.852916),4.852916,-6.975996,no
1,Côte d'Ivoire - Grobonou dan - 1042658,1042658,Grobonou dan,Côte d'Ivoire,Gabiadji,Grobonou dan,Identified,,,Mnlin rene,Not applicable,5.052587,-6.40658,,,No,,0,45,22.0,2,Membres du gsc,113.0,Aucune,Non,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary;Collège ou Université - University,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly),"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);accès à l'internet - Internet access;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-6.40658,5.052587,River,Walking path,Rural,10/31/22,San Pedro,San-Pédro,POINT (-6.40658 5.052587),5.052587,-6.40658,no
2,Côte d'Ivoire - Sarakakro - 1042430,1042430,Sarakakro,Côte d'Ivoire,Gabiadji,Gnity,Rejected,Vehicular Bridge Preferred,,Menegbe,Not applicable,5.176743,-6.519194,,,Yes,Route réservé aux véhicules,0,4,15.0,5,Membres de la communauté,69.0,Aucune,Non,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital;Pharmacie - Pharmacy,École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase",-6.519194,5.176743,"mudflat (low point with stagnant water, seasonally)",motorcycle accessible path,Rural,10/20/22,San Pedro,San-Pédro,POINT (-6.519194 5.176743),5.176743,-6.519194,no
3,Côte d'Ivoire - Pont souleman - 1042372,1042372,Pont souleman,Côte d'Ivoire,Gabiadji,Fahe,Identified,,,Rivière souleman,Not applicable,4.975573,-6.660057,,,No,,0,5,8.0,1,Membres de la communauté,115.0,115,Non,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly),"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Achat des unités ou de données - Airtime or data purchase",-6.660057,4.975573,"mudflat (low point with stagnant water, seasonally)",non-graded road or car/vehicle accessible path,Rural,10/20/22,San Pedro,San-Pédro,POINT (-6.660057 4.975573),4.975573,-6.660057,no
5,Côte d'Ivoire - Pont ladji - 1042376,1042376,Pont ladji,Côte d'Ivoire,Gabiadji,Fahe,Identified,,,Bas-fonds ladji,Not applicable,4.971329,-6.664966,,,No,,0,4,12.0,1,Membres de la communauté,100.0,100,Non,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital,École Secondaire - Secondary school,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly),"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Achat des unités ou de données - Airtime or data purchase",-6.664966,4.971329,swamp (water year round),motorcycle accessible path,Rural,10/20/22,San Pedro,San-Pédro,POINT (-6.664966 4.971329),4.971329,-6.664966,no
6,Côte d'Ivoire - Grobonou dan - 1042660,1042660,Grobonou dan,Côte d'Ivoire,Gabiadji,Grobonou dan,Identified,,,Yaya,Not applicable,5.057491,-6.404724,,,No,,0,5,22.0,2,Membres de la communauté,110.0,"0,7",Non,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary;Collège ou Université - University,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Usine ou Installation de transformation agricole - Factory or processing facilities;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-6.404724,5.057491,swamp (water year round),Walking path,Rural,10/31/22,San Pedro,San-Pédro,POINT (-6.404724 5.057491),5.057491,-6.404724,no
7,Côte d'Ivoire - Sangarekro - 1043161,1043161,Sangarekro,Côte d'Ivoire,Dogbo,Bledie,Identified,,,Bas-fonds Youba,Not applicable,4.858544,-6.979242,,,No,,0,0,10.0,1,Secrétaire Gsc,14.0,6,Non,Clinique ou centre de santé - Clinic or Health Center;Pharmacie - Pharmacy,École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Feme - Farms;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access",-6.979242,4.858544,"mudflat (low point with stagnant water, seasonally)",motorcycle accessible path,Rural,11/11/22,San Pedro,San-Pédro,POINT (-6.979242 4.858544),4.858544,-6.979242,no
8,Côte d'Ivoire - Bloho 2 - 1043155,1043155,Bloho 2,Côte d'Ivoire,Dogbo,Bledie,Identified,,,Bas-fonds bloho,Not applicable,4.880185,-7.026446,,,No,,0,0,28.0,2,Secrétaire Gsc,12.0,5,Non,Clinique ou centre de santé - Clinic or Health Center;Pharmacie - Pharmacy,École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Feme - Farms;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase",-7.026446,4.880185,River,motorcycle accessible path,Rural,11/11/22,San Pedro,San-Pédro,POINT (-7.026446 4.880185),4.880185,-7.026446,no
9,Côte d'Ivoire - Sangarekro - 1043157,1043157,Sangarekro,Côte d'Ivoire,Dogbo,Bledie,Identified,,,Sangarekro,Not applicable,4.855737,-6.969818,,,No,,0,0,25.0,5,Secrétaire Gsc,13.0,6,Non,Clinique ou centre de santé - Clinic or Health Center;Pharmacie - Pharmacy,École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Feme - Farms;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase",-6.969818,4.855737,"mudflat (low point with stagnant water, seasonally)",motorcycle accessible path,Rural,11/11/22,San Pedro,San-Pédro,POINT (-6.969818 4.855737),4.855737,-6.969818,no
10,Côte d'Ivoire - Bledie - 1042874,1042874,Bledie,Côte d'Ivoire,Dogbo,Bledie,Identified,,,Rivière Doumbia,Not applicable,4.861181,-6.998682,,,No,,0,0,2.0,1,Président Gsc,6.0,4,Non,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital;Pharmacie - Pharmacy,École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase",-6.998682,4.861181,"mudflat (low point with stagnant water, seasonally)",motorcycle accessible path,Rural,11/7/22,San Pedro,San-Pédro,POINT (-6.998682 4.861181),4.861181,-6.998682,no
